videoId,title,channelId,channelName,date
F25qrkboV3o,"Rohingya crisis, explained",UCYPvAwZP8pZhSMW8qs7cVCw,India Today,2017-09-13T11:02:05Z
yRnWtbZv83w,The Rohingya Crisis in 90 Seconds,UC5O114-PQNYkurlTg6hekZw,United Nations,2017-10-16T23:23:43Z
AnHizRC6S8U,Myanmar’s Rohingya Genocide,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,2020-02-14T14:00:03Z
04axDDRVy_o,"The “ethnic cleansing” of Myanmar’s Rohingya Muslims, explained",UCLXo7UDZvByw2ixzpQCufnA,Vox,2017-09-25T12:00:01Z
OqNqICFcmto,Inside the Rohingya Crisis: Capturing Their Genocide on Cellphones | NYT - Opinion,UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,2018-08-27T17:00:02Z
KT7QUzJg0aM,Rohingya crisis: the world&#39;s fastest growing humanitarian crisis- BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2017-10-19T09:22:45Z
DIfyNOwBdmA,Rohingya Crisis क्या है ? - Myanmar Ethnic cleansing - Rohingya Muslims issue in Hindi,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2017-01-31T12:36:36Z
X6Z7JgCUSWQ,Rohingya Refugee Crisis - Bangladesh starts shifting Rohingya refugees to Bhasan Char island #UPSC,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2020-12-07T13:57:19Z
5bDgDiBO4Co,Myanmar- The Rohingya crisis explained,UCmmPgObSUPw1HL2lq6H4ffA,Geography Now,2019-01-06T12:23:34Z
_uV-90VV7Fg,Rohingya crisis: Meeting Myanmar&#39;s hardline Buddhist monks - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2017-09-14T11:40:21Z
ncBMaGp7_pM,"Rohingya Crisis: जानिए क्या है Myanmar का Rohingya संकट, Full History । वनइंडिया हिंदी",UCOjgc1p2hJ4GZi6pQQoXWYQ,Oneindia Hindi | वनइंडिया हिन्दी,2017-09-19T13:07:08Z
311_7q24I6I,Rohingya crisis: Reuters journalists held &#39;for investigating Myanmar killings&#39; - BBC Newsnight,UC6o-wWU-v2ClFMwougmK7dA,BBC Newsnight,2018-02-09T15:37:25Z
RP6y8mYebEQ,Inside the Rohingya Refugee Crisis | Between Us,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2020-05-25T13:05:12Z
QevJTGnEhQU,Myanmar में Rohingya Muslims के genocide के पीछे cow sacrifice है?| Rohingya crisis। The Lallantop,UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,2017-09-15T09:57:39Z
AIHsoIG-2ls,Rohingya Crisis क्या भारत को रोहिंग्या मुसलमानों को शरण देनी चाहिए? पूरा विश्लेषण हिंदी में,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2017-09-09T10:39:35Z
I8JWilv6K8U,what is rohingya Crisis,UC8exuytmPBqeM6klg7zBNsQ,Mindscape,2017-11-09T14:30:01Z
ZKvEtxJrL94,The Rohingya Crisis - J. Sai Deepak - #IndicTalks,UCu3ix1BLMKTIIcjjXo-4X3w,Centre for Indic Studies,2018-02-01T06:19:18Z
HRp0o0fzB2I,Rohingya crisis: The Tula Toli massacre - BBC Newsnight,UC6o-wWU-v2ClFMwougmK7dA,BBC Newsnight,2017-11-14T13:32:45Z
BIh9wwpNS88,Rohingya Crisis: Rising from the pandemic,UC2ZDAoIMGP3m9tAgnniNEYw,"UNHCR, the UN Refugee Agency",2021-05-21T10:23:14Z
XI7lRmD0NmQ,Rohingya crisis through the eyes of Al Jazeera&#39;s journalists,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2019-08-25T10:17:31Z
rPUZn8yCWHE,Understanding the Rohingya Crisis: A View From Bangladesh,UCL_A4jkwvKuMyToAPy3FQKQ,Council on Foreign Relations,2021-03-03T18:36:31Z
TL4QrprybxY,India’s World - The Rohingya refugee crisis,UCISgnSNwqQ2i8lhCun3KtQg,Sansad TV,2015-06-09T09:06:38Z
UMesxumaUlc,Rohingya crisis: The mass exodus of Myanmar’s Muslim people | Short Doc,UCx8LIRh6VuPamPrqYDNF2QQ,RT Documentary,2020-09-20T16:00:13Z
irQhr9DOfbg,Rohingya crisis: &#39;Rape and murder&#39; in the Village of Tula Toli  - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2017-11-14T17:57:47Z
78n2ZpFzazM,Rohingya Refugee Issue - Why Mizoram Government is against Centre&#39;s directive on Rohingya issue?,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2021-03-22T06:15:15Z
yfyP-x7iZK0,WION Wideangle: Rohingya Crisis | A ground report from Bangladesh,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2020-11-01T05:12:55Z
1ALEshTvtAw,Solving the Rohingya Crisis,UCu_u-P3cBFO7D-sAjxd_I-w,The Agenda with Steve Paikin,2018-01-19T23:30:28Z
w-3cT6pL75c,A short history of the Rohingya people,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2020-08-26T08:47:23Z
2YUzH6gJ8aw,Weaponizing Social Media: The Rohingya Crisis,UC8p1vwvWtl6T73JiExfWs1g,CBS News,2018-03-01T23:48:44Z
2tJERb9KHLA,Escape from Myanmar: The Rohingya Refugee Crisis,UC8ZyfGD_qP-v75DGCzYQw6g,VICE Asia,2018-09-25T13:15:00Z
Gmw3k3wvltk,"Understanding the Rohingya Crisis: Race, Religion, and Violence in Burma",UCSh-dNnqe1agUSzPM01LgBA,YaleUniversity,2017-11-14T14:16:02Z
dB8JQGHH8Oo,Rohingya crisis: Nearly 300 refugees land in Indonesia after months at sea - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2020-09-08T11:33:39Z
Ak_7l5MMIRs,Rohingya Refugee Crisis,UC5O114-PQNYkurlTg6hekZw,United Nations,2018-02-10T13:00:00Z
GKTRB3gOv9I,The Rohingya Crisis - One Year On,UC7RCGWVd4j_WxIGalDkVi0w,SaveTheChildren,2018-08-31T10:17:18Z
OR4wnrUASBU,Special Report: The Rohingya refugee crisis,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,2017-11-13T06:29:03Z
wbpJ3VuQq1w,What&#39;s Myanmar&#39;s government doing to end the Rohingya crisis? - Inside Story,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2017-09-08T13:42:36Z
cZ224v7D2MQ,"Suu Kyi&#39;s silence on Rohingya crisis, explained",UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2017-09-06T15:00:26Z
ivqZqZjI89E,Why Is India Turning Its Back On Rohingya Refugees?,UChWtJey46brNr7qHQpN6KLQ,The Wire,2017-09-07T13:30:58Z
XT0VWGhgmZE,100 Days of the Rohingya crisis,UC2ZDAoIMGP3m9tAgnniNEYw,"UNHCR, the UN Refugee Agency",2017-12-01T14:15:05Z
ZosTP9BJ-Hk,"Rohingya crisis: At the scene in Rakhine state, Myanmar- BBC News",UC16niRr50-MSBwiO3YDb3RA,BBC News,2017-09-07T10:37:25Z
W9k6Jk_8bf8,5 Facts About the Rohingya Crisis,UCg3_C7BwcV0kBlJbBFHTPJQ,Global Citizen,2017-10-31T18:04:57Z
3aenyioqIEw,DNA : Understand all about Rohingya Muslims | रोहिंग्या मुसलमानों के बारे में सब कुछ जानें,UCIvaYmXn910QMdemBG3v1pQ,Zee News,2017-09-04T17:16:51Z
sc3leHd2z8E,Rohingya Crisis: Aung San Suu Kyi ने रोहिंग्या नरसंहार के दावों को किया ख़ारिज (BBC Hindi),UCN7B-QD0Qgn2boVH5Q0pOWg,BBC News Hindi,2019-12-11T13:47:39Z
861ytEA4fnM,The Rohingya Crisis: supporting Refugees and Host Communities,UCtu8MkufmVgxS8_Ocl7mMig,Food and Agriculture Organization of the United Nations,2018-05-04T07:02:43Z
cR3fH6eyrB8,Myanmar &amp; the Rohingya Refugee Crisis - with Cate Blanchett &amp; António Guterres,UC5O114-PQNYkurlTg6hekZw,United Nations,2018-08-28T22:07:33Z
fbOgPbZMK7s,Rohingya Refugee Crisis: UN envoys visit Myanmar&#39;s Rakhine state,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2018-04-30T10:52:18Z
DZEjZR_sQxY,Is the Rohingya crisis about money?,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2017-10-14T05:59:51Z
wuogyqaQhHQ,Rohingya Crisis - Explained (2 minutes),UCmbu6SCqkSqIOdJNH6HEGEA,LawPith,2016-07-03T14:24:58Z
vcvBHctQ2Xg,🇲🇲 Is Myanmar &#39;whitewashing&#39; the Rohingya crisis? | Inside Story,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2018-01-26T18:03:55Z
z8pZ-G6-dgU,HACK: The Rohingya crisis in Myanmar,UCd2KNtfphz8HvYzM4pwtHmg,triple j,2017-09-18T05:50:39Z
1f91jmq20_8,Who are the Rohingya? - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2017-09-08T06:51:56Z
8pCK8Z8Y-1A,EXCLUSIVE: Rohingya Muslims residing in Delhi don&#39;t want to leave India,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2018-07-31T08:26:19Z
N6asdu3uBy8,‘Repeat of what happened in Myanmar’: India detains 160 Rohingya,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2021-03-08T13:33:11Z
5b4vo2HYT5k,"HM Amit Shah Responds To Oppn, Says Rohingya Refugees Will Never Be Accepted | CNN-News18",UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,2019-12-09T17:49:09Z
AUMee4lTPps,Rohingya Refugees: Where is the US? Where is China? | Bigger Than Five,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2019-06-19T20:16:43Z
zRCF6kmBQHU,Bangladesh: Rohingya refugees happy with the facilities on Bhasan Char Island| English News,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2020-12-09T04:16:01Z
MAm3VvS6nLY,Video shows smugglers beating Rohingya refugees on boat during failed attempt to flee Bangladesh,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,2020-12-15T14:40:45Z
WMF73tPRwaU,Rohingya refugees in Bangladesh still hope to return to Myanmar | DW News,UCknLrEdhRCp1aegoMqRaCZg,DW News,2021-06-20T16:00:12Z
QDgkFvzy6vg,Where is Bangladesh relocating Rohingya refugees?,UC3njZ48-FDxLleBYaP0SZIg,The Hindu,2020-12-18T13:26:28Z
W8looPSlfF4,Why are Rohingya refugees attempting an escape from Bhasan Char? | WION Ground Report | Bangladesh,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2021-07-20T04:53:06Z
GZ2JVAjsCFE,What is Rohingya Muslims issue all about? | क्या है रोहिंग्या मुसलमानों से जुड़ा विवाद ?,UCIvaYmXn910QMdemBG3v1pQ,Zee News,2017-09-05T14:15:08Z
w7r2FqVLXp8,Rohingya Crisis: Where is the outrage?,UCwXekc-fe9L4g4ImdvAlgdA,Women in the World,2018-09-11T13:16:33Z
LXGr0ygFNJs,We Will Abide By Govt&#39;s Orders: Rohingya Muslim On CAB | ABP News,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2019-12-10T08:24:29Z
zb5lsx93ZyY,Myanmar’s persecuted Rohingya refugees | The Economist,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,2017-09-08T16:02:52Z
Vu7f2u9dI78,End to Rohingya plight draws closer,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,2009-04-16T08:58:35Z
yDwNexlodck,Rohingya Muslims in Delhi:  Nobody&#39;s refugees,UCustbySVJGb659WDpdkeATg,newslaundry,2017-09-07T08:10:34Z
m-OxJ12ygew,Former Myanmar soldiers detail mass atrocities against Rohingya,UCKjU3KzdbJE1EFcHVqXC3_g,CBC News: The National,2020-09-09T02:00:18Z
rgQSigE_mMg,DNA: How did Rohingya Muslims succeed in entering Indian system?,UCIvaYmXn910QMdemBG3v1pQ,Zee News,2017-09-20T17:23:39Z
Q89BxDBBNSY,A Short History of Rohingya Muslims,UCxKw_SuEJYD4r796Rs8wpQg,KJ Reports,2017-01-05T19:15:40Z
2ywDxJtFh5I,Persecution of Rohingya in Myanmar रोहिंग्या का उत्पीड़न Why aren&#39;t they recognised?,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2018-11-26T10:35:57Z
NxG10iTT17A,Rohingya refugees on Myanmar’s brutal crackdown: &#39;They slaughtered our people&#39;,UCHpw8xwDNhU9gdohEcJu4aA,The Guardian,2018-08-27T16:54:53Z
eWg9t7Vb4FU,Ground Report | ‘Orders From Above’: Delhi Police Pick Up 10 Rohingya Refugees | The Quint,UCSaf-7p3J_N-02p7jHzm5tA,The Quint,2021-04-05T13:47:23Z
zfZyaHK3PfM,Thousands of Rohingya Refugees in Northwest India Live in Fear of Deportation,UCVSNOxehfALut52NbkfRBaA,VOA News,2021-03-12T00:31:18Z
8hRIoS7WFgk,2 Myanmar soldiers confess to massacre of Rohingya Muslims | World News,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2020-09-09T03:13:53Z
r2OrXEaR6Ls,Exclusive: Area where Rohingya Muslims killed 45 Hindus in Myanmar&#39;s Rakhine,UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,2017-09-26T06:44:35Z
N5_KoxI1qHM,Rohingya Muslims: Why India is refusing refuge to Rohingyas,UCckHqySbfy5FcPP6MD_S-Yg,Times of India,2017-09-06T09:25:32Z
ag7-1J0c-j0,The Hindu Rohingya who want to return to Myanmar,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2019-01-21T17:18:16Z
LGuBve5S7-A,Rohingya refugees taken to remote Bangladesh island,UCHTK-2W11Vh1V4uwofOfR4w,AP Archive,2021-11-30T12:24:24Z
OLCof3wyO9o,Is the Myanmar coup a turning point for the Rohingya? | Inside Story,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2021-02-17T17:30:04Z
v1NhtN-wt1M,Rohingya History in Chronological Order,UCFHWUvonrpAzk33jWmEux8Q,AJMEER,2018-05-27T08:37:39Z
z990DtivAXQ,Rohingya | How to see Google maps how to see Google satellite map of Arakan Try Now,UCOYf8vs8zKRjV_MfIqu5yEQ,Nurkamal 360,2019-10-05T03:01:52Z
Dv_4Fz_eCrk,Ancient Map of Southeast Asia States of Arakan Rohingya,UCj9u_NKxQCdD6_9ikEigQMw,لا تنسى ذكر الله,2017-12-03T15:03:37Z
4yQmR9dAg_A,Mapping Myanmar&#39;s new political geography,UCxzvNYT-17mjYJMuDzGx7AA,ANU TV,2012-10-16T02:04:59Z
B3kdRB_cpnk,Site Mapping during the Rohingya Emergency Response in Bangladesh,UCtU4YhWgixi8PtnS6z0YFMA,GIS at MSF,2021-11-17T10:32:58Z
DwiGZGRJrO8,Myanmar Finds Mass Graves in Rakhine State | Radio Free Asia (RFA),UCirnBv9qGKCJYZSaWmYGFaQ,Radio Free Asia,2017-09-27T21:28:59Z
Ito-3kZjpAY,Myanmar&#39;s Geographic Challenge,UCZNjpcQLBx26W6lDWvpg7PQ,RANE,2012-03-27T16:47:17Z
CVkF_gBzpKM,Iftar with Rohingya refugees in India,UCUI9vm69ZbAqRK3q3vKLWCQ,Mint,2017-06-20T12:56:34Z
1-QQCIJnhNo,Some Rohingya Refugees Relocated to Bhasan Char Island,UCVSNOxehfALut52NbkfRBaA,VOA News,2020-12-09T09:31:00Z
Mv3S31AnVAY,"04Three years after exodus, Myanmar erases names of Rohingya villages, UN map makers follow suit",UCXONHXQIM5xKrfazskrJQ7A,shiawaves_English,2020-09-13T17:43:41Z
-MKTss4jPK8,Desperate Journeys: Rohingya escape routes,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2015-05-11T08:35:06Z
S-gFvL6SROc,Rohingya Muslim refugees flee ethnic cleansing in Myanmar,UCSrZ3UV4jOidv8ppoVuvW9Q,euronews,2017-10-09T11:40:58Z
7OLqEFHC9tI,Soldiers accused of raping Rohingya Women in Myanmar (BBC Hindi),UCN7B-QD0Qgn2boVH5Q0pOWg,BBC News Hindi,2018-06-28T11:28:51Z
pXjLATmOj6o,bangladesh map rohingya languages rohingya saintis,UCM9My7TUCTJGZ_lBxBS5_DA,NAKSHA RG,2021-04-15T08:56:56Z
j-gBhQ9FZ1g,Bhasan Char : A New Home For Rohingya&#39;s | Bangladesh Geography |World Map Forum,UCHf43VJU4HTda3Se2Xc7Leg,World Map Forum,2021-05-25T23:49:41Z
6FvaBN1ClZ8,Bangladesh plans to relocate Rohingyas to &#39;refugee island&#39; | DW News,UCknLrEdhRCp1aegoMqRaCZg,DW News,2019-09-03T08:16:39Z
E7LtEhoH6Xo,Rohingya refugee crisis: Life in Bangladesh&#39;s largest refugee camp,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,2017-10-24T11:01:44Z
uLlcP1GLu3k,India में रह रहे Rohingya Muslims को बाहर का रास्ता दिखाएगी Modi Govt,UCvxi7_X1VSaMr_osIamYNaw,NMF News,2018-06-05T07:19:25Z
nZvtiXFJ-Lw,rohingya languages map bhasan char,UCM9My7TUCTJGZ_lBxBS5_DA,NAKSHA RG,2021-06-03T07:15:00Z
MvG9ohjA_jw,"Today, 03, S. 2021 #Burmes News Translation in Rohingya Language By Mr Azad",UC-YbFsvaQSf_OJgq1rniUEA,ARAKANE ROHINGYA MUSLIM,2021-09-03T03:52:49Z
15VQkurX5yk,Bangladeshi Immigrants in India? | Citizenship Amendment Bill Explained by Dhruv Rathee,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,2018-06-03T09:20:40Z
dWfV4OVbKeE,rohingya languages maps pakistan  rohingya saintis,UCM9My7TUCTJGZ_lBxBS5_DA,NAKSHA RG,2021-04-21T05:40:39Z
dSkZlgk76-E,Myanmar: The Hidden Genocide | Al Jazeera Investigations,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2013-10-30T12:10:04Z
_FJn73dMshE,Funeral of Rohingya Leader Killed in Bangladesh,UCVSNOxehfALut52NbkfRBaA,VOA News,2021-09-30T23:08:31Z
RTLiTPdp9fE,"Satellite images showing the destruction of Rohingya villages in Rakhine State, Myanmar 2017-2018",UCokQuTYVvkwQb-A3TsSUm-g,UN Human Rights Council,2018-09-18T08:01:47Z
VxLM2bYXt6g,Bangladesh begins relocating Rohingya refugees to remote island Bhasan Char | DW News,UCknLrEdhRCp1aegoMqRaCZg,DW News,2020-12-10T09:27:55Z
2GBjLeEB9hg,Bangladesh&#39;s crazy island solution to refugee problem,UCFQgi22Ht00CpaOQLtvZx2A,ITV News,2017-02-23T23:28:33Z
tHhugqhMP50,What is Rohingya Issue | Rohingya Crisis | Rohingya Refugee | IAS Preparation,UCvhxNy0RihA0DThJW_s1qHg,Silent Padhai,2017-09-14T06:43:14Z
sCiVF9UmETc,Rohingya 5   Map,UCBf4UCGcfxp6p5qvd4RbwHQ,Claudia Heller De Messer,2018-03-15T21:12:21Z
Era_JHmXwMw,Rohingya Refugees ko shift kiya gya Bhasan Char Island Me | Bangladesh-Myanmar Rohingya Crisis,UCdW9NaHJHvDbg0Pyvrk0vtw,World-O-Pedia,2020-12-10T12:41:54Z
YoxT7vs7jAs,Exclusive Analysis  Growth of Rohingya and Future Road Map By VOR 19-01-2019,UC9WIYFjH0u_7aj2co8n0Hnw,Voice Of Rohingya,2019-01-19T14:18:44Z
tmUqIXyU8Ws,WeRobotics Webinar: Using Drones in Response to Rohingya Crisis,UCwmB52EUN2ABg4tAbv_sHWQ,Patrick Meier,2018-05-31T09:05:52Z
tCADRJn6DyU,maps Azerbaijan rohingya languages,UCM9My7TUCTJGZ_lBxBS5_DA,NAKSHA RG,2021-09-28T08:05:13Z
8zNjcVqCZwk,bhasan char island|| rohingya muslim,UC7Y7FRrgS4SlIw-SMl_zRxQ,(Rbs)Revolution By Study,2020-12-07T17:15:07Z
GJY-f9aNgaw,TODAY 03 MAY  2019#English News Translation in Rohingya Language By Mr Ismail,UC-YbFsvaQSf_OJgq1rniUEA,ARAKANE ROHINGYA MUSLIM,2019-05-03T18:20:55Z
LZBi9w-EAB8,Arakan Map geographical information by Atik Husein UK in Rohingya language.,UCEsBmWGrdxHgjcKk_B2rrLg,N Husein,2021-01-19T11:30:49Z
ItnRO49UKSA,Map practice for UPSC 2018 - Set 8 - Places In News - Current affairs 2018,UCrC8mOqJQpoB7NuIMKIS6rQ,Study IQ education,2018-04-07T16:22:42Z
pebrk29ZJW8,Myanmar: Are crimes against humanity taking place? * Warning: Distressing images * - BBC Newsnight,UC6o-wWU-v2ClFMwougmK7dA,BBC Newsnight,2017-03-10T23:15:19Z
B717rSoSreo,Very important information for Rohingya and people to know about the history of Burmese militaries.,UC-YbFsvaQSf_OJgq1rniUEA,ARAKANE ROHINGYA MUSLIM,2021-07-17T08:44:19Z
UzW2plqv2CA,maps Pakistan rohingya languages,UCM9My7TUCTJGZ_lBxBS5_DA,NAKSHA RG,2021-11-26T08:12:32Z
SqXLCxA12RY,Rohingya News | 14 September 2020 - Azadi TV,UCVhN9NOF12kywkIDvHsmGrg,Azadi TV,2020-09-14T05:42:15Z
YfQCfxbV4oc,"Drone Video of Rohingya Camps in Cox&#39;s Bazar, Bangladesh",UCPvkdsIdr06V3W4pa1-qsvw,Aapti Aarohi,2017-10-07T07:35:13Z
HXxH8Rpa4Pk,Rohingya refugees in Bangladesh three years after the main exodus,UChUxRpy-3F11CO2ajGq98BQ,MSF South Africa,2020-08-24T11:15:52Z
f-xwkhUImdA,rohingya languages maps shrafara,UCM9My7TUCTJGZ_lBxBS5_DA,NAKSHA RG,2021-07-10T04:15:42Z
fnwH7JBPOcA,রোহিঙ্গা ক্যাম্পে অস্ত্রের ঝনঝনানি; কীভাবে এলো এত অস্ত্র? | Rohingya Crisis,UCN6sm8iHiPd0cnoUardDAnw,Jamuna TV,2021-11-29T05:00:26Z
